,open,percent300Avg,growth5,growth10,growth20,growth40,growth80,growth160,growth300,num,x3,x4,x5,slope5,slope10,slope20,slope40,slope80,slope160,movAvgDiff20,movAvgDiff40,movAvgDiff80,movAvgDiff160,var20,var40,var80,var160,max5D,max10D,max25D,max50,max100,min5D,min10D,min25D,min50,min100,sp_slope5,sp_slope10,sp_slope20,sp_slope40,sp_slope80,sp_slope160,sp_movAvgDiff20,sp_movAvgDiff40,sp_movAvgDiff80,sp_movAvgDiff160,sp_var20,sp_var40,sp_var80,sp_var160,dow_slope5,dow_slope10,dow_slope20,dow_slope40,dow_slope80,dow_slope160,dow_movAvgDiff20,dow_movAvgDiff40,dow_movAvgDiff80,dow_movAvgDiff160,dow_var20,dow_var40,dow_var80,dow_var160,5DayActual,10DayActual,50DayActual,k,300MovAvg,max50D,min50D
2012-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8366,1.81048484848,0.858352631579,-1.61491214822,-0.268970371835,0.963743113226,0.989891593955,0.996849972596,0.975083644426,0.969331053398,188.78062,283.86750641,1219.72981671,1188.37288703,-42.4952,15.7651030303,8.94457067669,-14.0725586773,-2.83755821027,7.98277198276,0.993034817257,1.00005706696,0.980870023349,0.973555736452,16580.5190787,25825.9478541,88793.8790517,70566.0892372,,,,,,,
2012-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8336,1.268,0.94084887218,-1.57211693246,-0.299018555145,0.95817181384,0.994707536206,1.00157435649,0.980706070352,0.974157490983,184.36798,279.403804102,1194.88456304,1181.80384326,-39.4774,9.98846666667,10.036925188,-13.8082300422,-3.0316950085,7.91505007965,0.994906720723,1.00222515138,0.983688568017,0.975863264932,15116.9361103,25752.1507635,88036.9203456,70729.7639146,,,,,,,
2012-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4946,0.677266666667,1.01562218045,-1.52525659006,-0.328420903657,0.952423655953,1.00222533586,1.00926573894,0.989338578768,0.982053862153,175.850245,278.480917372,1164.49990885,1174.77889462,-27.52,4.02673939394,10.9848454887,-13.4978115385,-3.2208869169,7.84609832708,1.00165703287,1.00931798043,0.991432641957,0.983128369658,14112.1667461,26008.1125026,86902.8667758,70723.1314822,,,,,,,
2012-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4622,0.0800303030303,1.08117706767,-1.47354845216,-0.357154468472,0.946498882921,1.00060181145,1.00772583239,0.988776448429,0.980950625023,165.678505263,275.878619231,1150.52081036,1168.17376352,-11.0176,-1.72352727273,11.7617657895,-13.1347050891,-3.40516858298,7.77591227129,0.99936951697,1.00726206654,0.9900483143,0.981451802102,12958.0287432,26108.4184664,86625.7916195,70778.4403713,,,,,,,
2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5078,-0.98123030303,1.24169661654,-1.28218130863,-0.438730748945,0.927585592516,1.02204670417,1.03028021636,1.01359446289,1.0043495143,176.904937895,305.797468654,1126.46950829,1145.32358802,19.0122,-10.9118606061,13.2348838346,-11.6530981473,-3.9275285821,7.55669999844,1.01850808455,1.02778300459,1.01207527082,1.00285533084,12058.2292537,29099.1235477,86386.4152644,70990.9808075,,,,,,,
2012-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.637,-0.762545454545,1.29476954887,-1.20674767824,-0.463750184599,0.920964663476,1.023011102,1.03194905198,1.01634562077,1.00663266448,224.779131316,352.481074615,1108.34044304,1134.65592829,35.133,-8.80296363636,13.5561729323,-11.0363521107,-4.08753842007,7.48118398946,1.01637446827,1.0260833714,1.01127717521,1.00185343091,14091.0761169,31871.7758333,85782.7684663,70812.93314,,,,,,,
2012-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6004,0.505739393939,1.3940481203,-1.03807378049,-0.51033417868,0.907533672672,1.02531759416,1.0360561055,1.02245172532,1.01206436538,306.123541842,456.579256346,1092.54605062,1121.45945887,57.6774,2.16783636364,13.8673003759,-9.61894931989,-4.38548438233,7.32877816263,1.01954605568,1.03042992285,1.01710334263,1.00744221337,17966.5935882,38372.0312562,85572.4632855,70748.3694865,,,,,,,
2012-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6018,1.37787878788,1.4352981203,-0.943980605066,-0.531754613514,0.900730333888,1.01892793031,1.03015685498,1.0175405331,1.0069533766,335.61772079,498.014689679,1090.98957593,1112.35056849,57.107,9.38761818182,13.8410379699,-8.81729582552,-4.52280565079,7.25197745289,1.01446630174,1.02552172166,1.01301351686,1.00328342997,19742.7160011,41056.0265805,85423.5724518,70679.8223303,,,,,,,
2012-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4012,3.72944242424,1.47958157895,-0.640478963415,-0.588458805087,0.880050965644,1.0069467028,1.01852852605,1.00888929809,0.997151057443,389.783973421,587.595884038,1041.69264479,1079.91536841,9.4122,27.9525818182,12.8928056391,-6.20120715291,-4.88665073693,7.0200858963,1.00369938716,1.01419306257,1.00433782515,0.993903648567,22708.2981208,46398.3319846,82255.3749218,70191.831432,,,,,,,
2012-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.225,3.94931515152,1.45782293233,-0.533921575985,-0.604891002989,0.872952559731,1.00587297003,1.01648856304,1.00784839516,0.995714135304,384.269499737,592.727613077,1028.09110049,1066.69128975,-12.4136,29.3408606061,12.2410894737,-5.2739076454,-4.99245442891,6.94120674312,1.00110740874,1.01052280904,1.00156490215,0.990886131769,22022.4135516,46019.3049815,81474.4546595,69978.9773546,,,,,,,
2012-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.885,3.68390909091,1.41976466165,-0.426649648218,-0.620342173582,0.865740113566,0.997798951024,1.00720696605,0.999568082116,0.987128610821,378.797430527,583.3937225,1012.80648973,1061.07550437,-26.842,26.7766181818,11.452156015,-4.33549007974,-5.09249668454,6.86147666193,0.995418164385,1.00358775739,0.995512154835,0.98462675314,21618.9685779,44916.5600138,80711.7607676,70111.5715948,,,,,,,
2012-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.2626,3.12404848485,1.36758984962,-0.319286772983,-0.634810640823,0.858416217369,0.99714711059,1.00653071684,0.999832931316,0.986979207507,360.776914474,572.735897372,995.682571377,1056.29771698,-41.9696,21.650430303,10.5166206767,-3.40059842871,-5.18704097808,6.78085211046,0.991349932593,0.999177441522,0.99196740183,0.980759014575,21257.2404156,43689.6093231,79548.0355189,70364.37251,,,,,,,
2012-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.211,2.30816969697,1.29672105263,-0.211783513133,-0.648348549578,0.850974226349,0.992001914427,1.00119954778,0.995300821697,0.982172096722,346.754343158,559.231207115,987.885297959,1053.21448852,-52.329,14.4954242424,9.42546541353,-2.46620307223,-5.27623278833,6.69932133766,0.989074558268,0.996520010667,0.990031228896,0.978566251945,21273.1169253,42449.7591353,79116.012607,70711.4941597,,,,,,,
2012-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9672,-0.710933333333,1.14872406015,0.0982439727955,-0.683513349742,0.827685814265,1.00620673413,1.01396244602,1.01276549281,0.998080222307,279.845409211,337.363643013,901.532764795,1051.13272953,-29.201,-11.0018787879,6.91153609023,0.220908818011,-5.51259658199,6.44751701904,1.00419943533,1.00942114578,1.00734057023,0.994569128028,19827.4513569,22179.9313738,73036.1644347,71558.022084,,,,,,,
