Date, Open, High, Low, Close
01/04/13, 1459.37, 1467.94, 1458.99, 1466.47
01/03/13, 1462.42, 1465.47, 1455.53, 1459.37
01/02/13, 1426.19, 1462.43, 1426.19, 1462.42
12/31/12, 1402.43, 1426.74, 1398.11, 1426.19
12/28/12, 1418.10, 1418.10, 1401.58, 1402.43
12/27/12, 1419.83, 1422.80, 1401.80, 1418.10
12/26/12, 1426.66, 1429.42, 1416.43, 1419.83
12/24/12, 1430.15, 1430.15, 1424.66, 1426.66
12/21/12, 1443.67, 1443.67, 1422.58, 1430.15
12/20/12, 1435.81, 1443.70, 1432.82, 1443.69
12/19/12, 1446.79, 1447.75, 1435.80, 1435.81
12/18/12, 1430.47, 1448.00, 1430.47, 1446.79
12/17/12, 1413.54, 1430.67, 1413.54, 1430.36
12/14/12, 1419.45, 1419.45, 1411.88, 1413.58
12/13/12, 1428.48, 1431.36, 1416.00, 1419.45
12/12/12, 1427.84, 1438.59, 1426.76, 1428.48
12/11/12, 1418.55, 1434.27, 1418.55, 1427.84
12/10/12, 1418.07, 1421.64, 1415.64, 1418.55
12/07/12, 1413.95, 1420.34, 1410.90, 1418.07
12/06/12, 1409.43, 1413.95, 1405.93, 1413.94
12/05/12, 1407.05, 1415.56, 1398.23, 1409.28
12/04/12, 1409.46, 1413.14, 1403.65, 1407.05
12/03/12, 1416.34, 1423.73, 1408.46, 1409.46
11/30/12, 1415.95, 1418.86, 1411.63, 1416.18
11/29/12, 1409.96, 1419.70, 1409.04, 1415.95
11/28/12, 1398.77, 1410.31, 1385.43, 1409.93
11/27/12, 1406.29, 1409.01, 1398.03, 1398.94
11/26/12, 1409.15, 1409.15, 1397.68, 1406.29
11/23/12, 1391.03, 1409.16, 1391.03, 1409.15
11/21/12, 1387.79, 1391.25, 1386.39, 1391.03
11/20/12, 1386.82, 1389.77, 1377.04, 1387.81
11/19/12, 1359.88, 1386.89, 1359.88, 1386.89
11/16/12, 1353.36, 1362.03, 1343.35, 1359.88
11/15/12, 1355.41, 1360.62, 1348.05, 1353.33
11/14/12, 1374.64, 1380.13, 1352.50, 1355.49
11/13/12, 1380.03, 1388.81, 1371.39, 1374.53
11/12/12, 1379.86, 1384.87, 1377.19, 1380.03
11/09/12, 1377.55, 1391.39, 1373.03, 1379.85
11/08/12, 1394.53, 1401.23, 1377.51, 1377.51
11/07/12, 1428.27, 1428.27, 1388.14, 1394.53
11/06/12, 1417.26, 1433.38, 1417.26, 1428.39
11/05/12, 1414.20, 1419.90, 1408.13, 1417.26
11/02/12, 1427.59, 1434.27, 1412.91, 1414.20
11/01/12, 1412.20, 1428.35, 1412.20, 1427.59
10/31/12, 1410.99, 1418.76, 1405.95, 1412.16
10/26/12, 1412.97, 1417.09, 1403.28, 1411.94
10/25/12, 1409.74, 1421.12, 1405.14, 1412.97
10/24/12, 1413.20, 1420.04, 1407.10, 1408.75
10/23/12, 1433.74, 1433.74, 1407.56, 1413.11
10/22/12, 1433.21, 1435.46, 1422.06, 1433.82
10/19/12, 1457.34, 1457.34, 1429.85, 1433.19
10/18/12, 1460.94, 1464.02, 1452.63, 1457.34
10/17/12, 1454.22, 1462.20, 1453.35, 1460.91
10/16/12, 1440.31, 1455.51, 1440.31, 1454.92
10/15/12, 1428.75, 1441.31, 1427.24, 1440.13
10/12/12, 1432.84, 1438.43, 1425.53, 1428.59
